"RENT","OMB13CBSA","CB","COSTBURDEN","HHPOC","MHINCP","HHGRAD","HHSPAN_new","HHMAR_NEW","HHRACEALL","HHSEX_NEW","HHAGE","HINCP","UTILAMT","HHIMMIGRANT","HSHLDTYPE","RATINGHS","RATINGNH","HUDSUB","BLD","LOTSIZE","UPKEEP","ADEQUACY","NUMPEOPLE","TOTROOMS","CROWD","UNIT_SIZE_NEW","RENTSUB_NEW","FS","RENTCNTRL","NHQSCHOOL","NHQPCRIME","NHQSCRIME","NEARBARCL","NEARABAND","WEIGHT"
1800,3,0.304225352112676,1,0,5916.66666666667,15,0,0,"2",1,74,71000,0,0,6,9,7,3,7,1,1,1,1,3,0.333333333333333,2,0,0,0,1,1,1,1,0,346.87850212
800,10,0.329142857142857,1,0,2916.66666666667,10,0,1,"2",1,70,35000,160,0,1,8,8,3,2,2,1,1,2,4,0.5,4,0,0,0,1,0,0,0,0,649.90852023
2700,3,0.54,1,0,5000,15,0,1,"2",0,79,60000,0,0,4,1,10,3,7,1,1,2,1,3,0.333333333333333,1,0,0,0,1,0,0,0,0,349.05180007
900,3,0.46046511627907,1,0,2150,10,0,0,"2",1,70,25800,90,0,6,10,10,3,7,1,1,1,1,4,0.25,-1,0,0,0,1,0,0,0,0,343.59103974
540,10,0.300990099009901,1,0,2525,11,0,0,"2",0,70,30300,220,0,2,10,10,3,1,5,1,1,2,5,0.4,-1,0,0,0,1,0,0,0,0,599.31594999
850,3,0.396116504854369,1,0,2575,9,1,1,"2",1,31,30900,170,0,1,7,7,3,2,3,1,1,3,6,0.5,-1,0,0,0,1,0,0,0,0,358.39635172
700,3,0.1968,0,0,4166.66666666667,10,1,0,"2",0,26,50000,120,0,4,8,8,3,8,1,1,1,1,4,0.25,-1,1,0,0,1,1,0,0,0,358.39635172
550,3,0.55,1,1,1000,11,0,0,"5",1,85,12000,0,0,6,9,9,3,7,1,1,1,1,3,0.333333333333333,2,0,0,0,1,0,0,0,0,343.59103974
900,3,0.824,1,0,1250,13,0,0,"2",1,47,15000,130,0,6,8,7,3,3,3,1,1,1,5,0.2,4,0,0,0,-1,0,0,0,0,408.0365172
600,3,0.378,1,1,1666.66666666667,13,0,0,"4",0,52,20000,30,1,4,9,5,3,4,1,1,1,1,4,0.25,3,1,0,0,1,0,0,1,0,385.01636915
1200,3,0.223650385604113,0,0,6483.33333333333,10,0,1,"2",0,47,77800,250,0,1,8,10,3,2,2,1,1,4,8,0.5,5,0,0,0,1,1,1,0,0,400.38463689
1100,3,0.307894736842105,1,0,3800,11,0,0,"2",1,59,45600,70,0,3,4,5,3,7,1,1,1,2,4,0.5,4,0,0,0,0,1,1,0,0,396.7021695
1100,3,0.381,1,0,3333.33333333333,10,1,0,"2",0,49,40000,170,1,5,9,9,3,2,3,1,1,2,6,0.333333333333333,5,0,0,0,1,0,0,0,0,358.39635172
1100,3,0.122304,0,0,10416.6666666667,10,0,1,"2",0,47,125000,174,0,1,10,10,3,2,2,1,1,3,7,0.428571428571429,4,0,0,0,0,-1,-1,0,0,396.7021695
750,10,0.87,1,0,1000,16,0,0,"2",1,70,12000,120,0,6,5,7,2,1,2,1,1,1,5,0.2,3,1,1,0,1,0,0,0,0,624.27127849
850,10,0.645614035087719,1,0,1425,12,0,0,"2",0,70,17100,70,0,4,-9,-9,3,6,1,1,1,1,5,0.2,3,0,0,0,1,0,0,0,0,711.61819665
730,3,0.178867924528302,0,0,4416.66666666667,7,1,1,"2",0,61,53000,60,1,1,8,7,3,6,1,1,1,3,5,0.6,-1,0,0,0,-1,0,0,0,0,317.57705928
1200,3,0.491860465116279,1,0,2866.66666666667,9,0,0,"2",0,30,34400,210,0,2,8,9,3,2,2,1,1,4,6,0.666666666666667,5,0,1,0,1,0,0,0,0,408.0365172
1500,3,0.576666666666667,1,1,3000,10,0,1,"5",0,66,36000,230,1,1,7,10,3,2,3,1,1,3,6,0.5,5,0,0,0,1,1,0,1,0,367.61838518
600,3,0.25875,0,0,2666.66666666667,10,1,0,"2",0,41,32000,90,0,4,5,6,3,7,1,1,1,1,3,0.333333333333333,-1,0,0,0,1,1,0,1,1,347.83893981
650,3,0.152727272727273,0,1,4583.33333333333,14,0,0,"3",0,35,55000,50,1,4,5,2,3,7,1,1,1,1,3,0.333333333333333,2,0,0,0,1,1,0,1,1,485.53837185
1500,10,0.486,1,0,3333.33333333333,10,0,0,"2",1,85,40000,120,0,6,10,10,3,9,1,1,1,1,5,0.2,-1,0,0,0,-1,0,0,0,0,762.44806784
800,10,0.531428571428571,1,0,1750,11,0,0,"2",1,32,21000,130,0,6,7,7,3,2,3,1,1,1,4,0.25,-1,0,0,0,1,0,0,0,0,613.55128988
1300,3,0.2205,0,0,6666.66666666667,16,0,1,"2",1,34,80000,170,1,1,7,8,3,2,2,1,1,4,7,0.571428571428571,6,0,0,0,1,0,0,0,0,407.78809314
1400,3,0.258857142857143,0,1,5833.33333333333,10,0,1,"3",1,53,70000,110,0,3,9,10,3,2,3,1,1,2,6,0.333333333333333,-1,0,0,0,1,0,0,1,0,514.56873548
850,3,0.325301204819277,1,0,2766.66666666667,15,0,0,"2",1,21,33200,50,0,7,7,5,3,6,1,1,1,2,4,0.5,3,0,0,0,-1,1,1,1,0,385.01636915
1000,3,0.236444444444444,0,0,4500,10,1,1,"2",1,38,54000,64,1,6,8,8,3,6,1,1,1,1,6,0.166666666666667,-1,0,0,0,1,0,0,0,0,352.49335299
2000,10,0.460714285714286,1,1,4666.66666666667,15,0,0,"5",1,27,56000,150,0,3,8,8,3,6,1,1,1,4,6,0.666666666666667,5,0,0,0,1,0,0,0,0,751.34517653
730,3,0.176727272727273,0,0,4583.33333333333,7,1,1,"2",0,43,55000,80,1,1,5,5,3,2,4,1,1,2,5,0.4,-1,0,0,0,0,1,1,1,1,352.49335299
890,3,0.331578947368421,1,1,3166.66666666667,15,0,0,"3",0,46,38000,160,1,4,10,7,3,6,1,1,1,1,3,0.333333333333333,3,0,0,0,-1,1,1,0,0,500.2751595
700,3,0.394871794871795,1,0,1950,4,1,0,"2",0,48,23400,70,1,2,8,10,3,5,1,1,1,6,5,1.2,-1,0,1,0,1,1,1,0,0,347.83893981
730,10,0.173333333333333,0,0,4500,10,0,1,"2",1,34,54000,50,0,6,9,9,3,6,1,1,1,1,3,0.333333333333333,2,0,0,0,1,0,0,0,0,613.55128988
1200,3,0.284380610412926,0,0,4641.66666666667,15,0,0,"2",0,58,55700,120,0,4,10,10,3,2,3,1,1,1,7,0.142857142857143,6,0,0,0,1,0,0,0,0,408.0365172
1400,3,0.395860284605433,1,0,3865,14,0,1,"2",1,67,46380,130,0,1,6,8,3,2,2,1,1,2,7,0.285714285714286,7,0,0,0,1,0,0,0,0,325.89267606
1000,3,0.281739130434783,0,1,3833.33333333333,11,0,0,"5",0,31,46000,80,0,2,8,8,3,6,1,1,1,3,4,0.75,3,0,0,0,1,1,0,0,0,358.39635172
1900,3,0.208272506082725,0,1,10275,15,0,1,"3",0,71,123300,240,0,1,10,10,3,2,3,1,1,2,5,0.4,5,0,0,0,1,0,0,0,0,464.54608829
650,3,0.227368421052632,0,0,3166.66666666667,5,1,1,"2",0,42,38000,70,1,1,7,7,3,5,1,1,1,5,4,1.25,-1,0,0,0,1,0,0,0,0,358.39635172
500,10,0.107826086956522,0,0,5750,13,0,0,"2",0,35,69000,120,0,5,-9,-9,3,4,1,1,1,2,4,0.5,4,0,0,0,-1,0,0,0,0,701.25549809
750,3,0.185567010309278,0,0,4850,11,0,0,"2",0,21,58200,150,0,5,6,4,3,5,1,1,1,2,4,0.5,3,0,0,0,0,1,0,1,1,385.01636915
910,3,0.2136,0,0,5000,14,0,0,"2",0,58,60000,158,0,4,5,3,3,6,1,1,1,1,3,0.333333333333333,3,0,0,0,1,1,0,1,1,396.7021695
1000,3,0.31609756097561,1,0,3416.66666666667,11,0,0,"2",1,33,41000,80,0,6,7,8,3,6,1,1,1,1,5,0.2,3,0,0,0,1,0,0,0,0,396.7021695
1100,3,0.572307692307692,1,1,2166.66666666667,15,0,0,"3",1,54,26000,140,0,3,9,9,3,6,1,1,1,7,4,1.75,-1,0,0,0,1,0,0,0,0,514.56873548
900,10,0.144,0,1,7916.66666666667,10,0,0,"3",0,57,95000,240,0,2,8,8,3,2,3,1,1,4,6,0.666666666666667,-1,0,0,0,1,1,0,0,0,414.48966033
1200,3,0.185333333333333,0,0,7500,10,0,1,"2",1,41,90000,190,0,1,8,8,3,3,1,1,1,4,6,0.666666666666667,5,0,0,0,1,0,0,0,0,408.8709477
1500,10,0.458666666666667,1,1,3750,9,0,0,"3",1,55,45000,220,0,6,10,7,3,4,1,1,1,1,3,0.333333333333333,-1,-1,0,0,-1,1,1,0,1,808.44657094
890,3,0.154520547945205,0,0,6083.33333333333,10,0,0,"2",1,52,73000,50,0,6,10,10,3,6,1,1,1,1,4,0.25,3,0,0,0,1,1,0,0,0,396.7021695
980,3,0.292173913043478,0,0,3833.33333333333,15,0,0,"2",1,30,46000,140,0,6,6,7,3,5,1,1,1,1,6,0.166666666666667,-1,-1,0,0,1,0,0,0,0,381.36746378
980,3,0.349463414634146,1,0,3416.66666666667,10,0,0,"2",1,53,41000,214,0,3,10,10,3,2,3,1,1,3,8,0.375,7,0,0,0,1,0,0,0,0,408.0365172
850,3,0.0589787234042553,0,0,15666.6666666667,15,0,0,"2",0,36,188000,74,0,4,8,8,3,6,1,1,1,1,3,0.333333333333333,3,0,0,0,1,0,0,1,1,385.01636915
1200,10,0.238153846153846,0,1,5416.66666666667,16,0,0,"3",1,55,65000,90,0,6,5,8,3,7,1,1,1,1,4,0.25,4,1,0,0,1,0,0,0,0,861.05784804
980,3,0.2208,0,0,5000,10,1,0,"2",0,35,60000,124,0,4,7,7,3,3,3,1,1,1,7,0.142857142857143,6,0,0,0,1,0,0,0,0,368.63624749
270,3,0.0991578947368421,0,0,3166.66666666667,10,0,0,"2",0,46,38000,44,0,4,5,4,3,6,1,1,1,1,4,0.25,2,0,0,0,1,1,1,0,0,385.01636915
1100,3,0.214814814814815,0,1,5400,11,0,0,"3",1,37,64800,60,1,6,8,10,3,6,1,1,1,1,4,0.25,4,0,0,0,0,-1,-1,0,0,500.2751595
1000,10,0.183428571428571,0,0,5833.33333333333,16,0,0,"2",0,61,70000,70,0,4,-9,-9,3,9,1,1,1,1,3,0.333333333333333,3,0,0,0,-1,0,0,0,0,701.25549809
